net profit / total assets,current assets / short-term liabilities,[(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,sales / total assets,(gross profit + depreciation) / sales,(total liabilities * 365) / (gross profit + depreciation),sales (n) / sales (n-1),profit on operating activities / financial expenses,working capital / fixed assets,(current liabilities * 365) / cost of products sold,(current assets - inventories) / long-term liabilities,total liabilities / ((profit on operating activities + depreciation) * (12/365)),net profit / inventory,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),bankrupt
0.072208,1.2772,9.9884,1.0668,0.062661,2226.0,1.1089,0.6534,0.72128,133.11,9.2074,0.17821,0.62457,0.22069,0
0.19627,0.98734,-21.263,1.1361,0.13674,553.31,0.89705,1.3782,-0.0083944,73.791,4.3651,0.045252,1.83,0.45634,0
0.064103,2.4762,26.967,1.2051,0.11668,700.09,0.93336,1.9285,0.95065,77.178,4.8451,0.034225,0.22618,0.098086,0
-0.03225,2.0706,118.12,1.0758,0.12901,1975.5,0.67862,0.36532,0.6171,110.6,1.3139,0.11033,-0.96453,-0.0958,0
0.20486,1.8299,15.66,1.1623,0.15251,344.8,0.95504,1.5093,0.46896,60.488,124.25,0.03185,1.3904,0.39341,0
0.1562,1.2945,-22.376,1.2565,0.21186,946.19,1.0168,2.4609,0.07192,80.519,0.37347,0.080156,1.6846,0.37671,0
-0.23905,5.5561,112.93,0.86274,-0.17011,-3615.4,0.34033,-2.7704,0.5652,34.344,0.26146,-0.43952,-1.8306,1.2231,0
0.019647,1.3102,-24.715,1.0056,0.050839,1750.4,0.82615,0.31321,0.15505,83.395,9.8176,0.13206,0.10964,0.033117,0
0.10875,0.85098,-34.089,0.95225,0.17394,718.95,0.93043,0.9669,-0.066304,102.85,4.5581,0.064087,2.556,0.2552,0
0.13939,2.7414,99.805,1.2898,0.19487,560.79,1.1046,2.8564,1.4881,111.64,7.2004,0.03843,0.64038,0.20582,0
0.10046,2.0931,5.8791,1.0747,0.065653,1074.1,0.96376,0.74946,3.1169,73.63,40.745,0.080611,0.27342,0.18816,0
-0.081497,0.75124,-545.18,0.30644,-0.21393,-6286.7,0.57408,0.27617,-0.19058,780.37,0.4875,0.8572,-1.5703,0.0,0
0.17305,1.223,-32.552,1.0052,0.19768,818.65,0.99831,1.174,0.14148,125.82,2.5843,0.098233,1.0398,0.36182,0
0.20089,2.7962,97.934,1.2264,0.23579,298.99,1.1372,2.4142,1.2826,85.928,340.19,0.027314,1.2178,0.27694,0
0.033887,1.8799,46.848,1.0621,0.071379,1852.3,1.0574,14.043,0.95498,171.71,16.696,0.16212,0.16267,0.055075,0
-0.2236,0.90566,-165.33,0.76076,-0.22427,-1116.8,0.66017,-2.178,-0.087361,189.49,35.621,-0.10867,-0.62677,-0.48525,0
0.06988,5.9851,97.002,1.0609,0.11989,328.24,0.93184,0.82336,1.0794,39.191,52.917,0.028934,0.29272,0.078561,0
0.13038,1.8575,-15.655,1.0571,0.043731,2254.8,1.0301,0.47846,3.2687,63.586,1.8168,0.1668,0.39706,0.61927,0
0.0046293,0.95361,-60.765,1.0183,0.019563,7076.4,0.96485,0.24019,-0.04881,118.16,2.5676,0.31882,0.019242,0.015318,0
0.33547,1.7401,31.895,1.4255,0.27099,382.5,1.0267,4.3183,0.48472,116.41,4.8159,0.028403,2.4736,0.6232,0
0.048047,0.79615,-64.332,1.0372,0.059828,2049.8,0.96924,0.42002,-0.24054,122.12,11.7,0.16295,0.25476,0.157,0
0.15951,0.43591,-192.04,1.1354,0.13543,1936.1,0.86463,1.3267,-1.0069,292.16,18.395,0.17423,1.824,-1.6022,0
0.050121,1.4604,19.435,1.3127,0.084536,1531.9,0.88222,3.8272,0.41025,130.21,15.127,0.13373,0.45087,0.093813,0
0.068677,1.6946,44.236,1.0581,0.075907,2001.0,0.87013,0.68651,0.27061,69.968,1.3046,0.17794,114.1,0.15872,0
0.16269,2.5142,16.251,1.0894,0.12593,357.96,0.92154,0.90232,0.73158,42.205,8.4514,0.03133,0.65907,0.22098,0
0.096863,2.4264,31.563,1.0495,0.094971,503.83,0.75637,0.62285,0.88942,41.63,8.5269,0.04331,0.58468,0.13824,0
0.058366,4.9849,33.227,1.0706,0.056639,971.07,0.69736,10.957,0.69679,33.803,3.4477,0.083341,0.21523,0.069592,0
0.047082,2.1442,-20.019,1.0109,0.066243,3072.3,0.85222,0.00043507,0.29955,63.438,0.32597,1.6938,0.20431,0.1079,0
0.27506,9.3487,105.22,2.6569,0.14198,115.02,1.146,29.267,3.541,13.685,22.212,0.010427,4.9338,0.31217,0
-0.10016,0.47554,-111.95,0.88616,-0.11376,-1461.8,0.49656,-1.532,-0.16392,144.03,11.836,-0.16966,-1.8308,-0.15144,0
0.037879,1.0778,-14.832,1.0298,0.072297,2692.7,0.55225,0.55185,0.017925,86.452,0.64979,0.25766,0.92959,0.10454,0
0.53408,2.1438,-12.676,1.2071,0.18282,175.54,1.0266,2.0887,1.0779,36.915,41.149,0.016272,15.565,0.7941,0
0.25236,1.839,18.155,1.1231,0.11812,471.38,0.88372,1.2105,1.4872,58.089,18.292,0.042013,1.3783,0.45713,0
-0.079797,1.027,-35.416,1.0293,-0.029367,-3442.6,0.90156,0.10245,0.024238,88.377,3.39,0.31424,-0.40193,-0.17715,0
0.10013,1.1438,-31.221,2.635,0.044383,2609.3,1.1084,4.6307,1.2517,110.7,15.699,0.27882,0.39116,0.61069,0
0.0013819,0.8656,-97.013,1.9573,0.0018023,95913.0,0.58657,0.0,-0.1416,133.48,0.53703,14.4,0.0048043,0.018926,0
0.044194,1.4724,-40.909,1.2827,0.060615,2521.6,0.82973,1.2371,0.19537,78.645,0.64724,0.37646,0.22414,0.095482,0
0.1529,2.3675,7.7081,1.0806,0.16302,996.4,0.73605,3.428,0.40224,67.597,0.79391,0.073175,0.75422,0.29456,0
0.11108,1.9454,-9.1735,1.0588,0.074863,2027.3,1.1808,0.68902,0.19699,30.348,0.16531,0.13666,0.60646,0.58059,0
0.13144,2.1058,17.637,1.0856,0.082868,653.04,1.0756,0.81079,1.0662,50.996,8.8632,0.053526,0.54502,0.22839,0
0.03866,2.0694,94.551,0.51631,0.24395,1395.7,1.2877,5.4704,0.12941,90.591,0.76126,0.11237,13.594,0.074581,0
0.040774,1.2501,-7.1823,2.8884,0.13549,656.07,0.93673,1.9843,0.59726,77.878,6.2572,0.054643,0.233,0.13749,0
-0.014989,1.0351,-72.311,1.0004,0.028957,5158.8,0.68758,0.075726,0.014418,91.43,0.35861,0.30414,-0.064345,-0.028364,0
0.054751,1.4103,-22.964,1.018,0.055472,824.2,0.80824,0.20593,0.14842,45.713,47.856,0.10583,0.42146,0.07241,0
0.21078,2.7468,78.414,1.9936,0.15385,425.71,1.5446,101.6,0.9965,45.19,8.0929,0.038604,50.553,0.32818,0
0.076108,1.2494,-15.269,2.725,0.05589,1276.5,1.0274,4.6525,0.31142,68.068,8.7179,0.10077,0.34607,0.16285,0
0.21131,1.5725,-25.397,2.5963,0.10933,906.23,0.93947,2.0314,2.3022,81.464,3.9448,0.12118,0.84666,0.71564,0
0.030066,0.73859,-1876.5,2.4042,0.0107,11172.0,1.6696,1.4184,-0.15975,68.828,0.67799,0.3099,0.44087,0.14142,0
-0.005744,1.109,-13.298,0.95743,0.015415,8519.4,0.46409,0.19061,0.053189,91.027,2.3057,0.28088,-0.078916,-0.011772,0
0.31275,1.8858,-0.69754,1.7152,0.19784,506.76,0.90845,73.114,0.80551,87.314,2.4659,0.045721,1.057,0.59135,0
0.0077797,2.1967,-17.341,0.95359,0.083169,1565.3,0.76724,1.7207,0.34343,67.501,1.3831,0.12612,0.031362,0.01179,0
0.10479,1.1652,11.594,1.1781,0.25571,635.09,0.87599,1.8522,0.031314,78.236,0.7917,0.056248,32.376,0.17651,0
0.0016672,0.81871,-173.89,1.1616,0.079759,4673.4,0.8801,1.0951,-0.30699,220.17,0.6705,0.36122,0.0042412,-0.0089517,0
0.0058402,0.85316,-44.974,1.0316,0.063424,2218.5,0.89229,0.28927,-0.072615,91.21,0.91511,0.15212,0.053815,0.01308,0
0.010818,2.7856,16.12,1.0056,0.028372,1018.7,0.8112,0.098282,1.4042,25.623,12.24,0.078765,0.038455,0.015486,0
0.2067,1.0769,-44.336,2.4407,0.12125,804.41,0.82938,7.4639,0.11196,95.328,3.7008,0.066596,0.69899,0.59433,0
-0.105,0.72549,-33.54,1.1331,-0.064037,-4472.3,0.67743,-2.6399,-0.10938,91.241,0.35399,-0.66258,-5.5408,-0.94643,0
-0.22692,0.79688,-173.45,0.80513,-0.26284,-1199.9,0.87192,-2.2869,-0.25737,253.61,297.87,-0.12049,-0.80557,-0.63497,0
0.053112,2.1586,-16.934,1.164,0.20298,591.49,0.92452,1.5706,0.26801,138.69,232.72,0.054255,0.93781,0.065888,0
0.03147,0.46587,-603.23,1.0077,0.20052,10319.0,0.70703,0.54654,-0.22051,671.31,0.16965,1.6578,0.83703,-0.40281,0
0.045371,0.49251,-150.69,1.1236,0.073728,4236.0,1.5283,2.6448,-0.5649,247.85,1.1964,0.34065,0.70826,1.1752,0
0.019787,1.161,-25.192,1.6327,0.024572,5313.9,1.7006,1.5632,0.11938,92.11,1.732,0.27201,0.14039,0.047575,0
0.10263,2.6141,67.091,1.6307,0.10034,1180.4,1.1155,3.2212,1.8174,70.659,3.062,0.083445,0.85966,0.21797,0
0.0043864,2.3473,27.622,2.1202,0.078281,1111.6,1.2769,1.1093,0.48732,33.0,3.0797,0.081497,0.041551,0.0088702,0
0.041022,3.5766,63.705,1.0229,0.13204,321.15,0.90132,0.23369,0.18932,43.299,1753.8,0.05822,1.5187,0.044228,0
0.21838,4.8992,96.733,1.2936,0.25401,160.74,1.4888,86.161,1.0994,44.056,33.275,0.014622,1.049,0.25533,0
0.011124,2.0547,34.933,1.0064,0.053517,2727.7,0.6211,0.68113,1.528,130.07,12.29,0.289,0.039596,0.018618,0
-0.092464,1.5852,4.3747,1.968,-0.0085591,-8204.0,0.75336,-19.225,0.5083,64.68,34.693,-0.85286,-0.75683,-0.1488,0
0.13869,2.0666,18.411,1.1649,0.19266,398.46,0.87517,1.8271,0.40615,78.714,9.5576,0.035315,0.84928,0.18414,0
0.028451,1.2389,-93.62,0.71866,0.19195,1813.6,0.7285,1.9554,0.086052,136.21,0.26966,0.1387,0.14003,0.090439,0
0.0058932,2.5864,6.9981,1.0051,0.022426,2648.8,0.71081,0.01459,3.7684,57.224,25.979,0.25795,0.012145,0.009024,0
0.095363,1.4582,9.4801,2.9641,0.064039,925.32,0.81826,15.081,0.51472,55.052,9.138,0.082607,0.83223,0.18382,0
0.023375,1.9568,14.571,2.5954,0.059381,1182.8,1.0,0.14102,0.51326,36.822,1.5202,0.12611,0.1551,0.046697,0
0.061295,1.0548,-25.991,1.9924,0.05339,3127.0,1.2898,3.5827,0.10665,127.81,2.3798,0.22501,2.9349,0.69107,0
0.061868,6.5332,143.26,0.87345,0.094665,364.97,0.28995,0.40161,4.9113,27.167,58.86,0.038796,46.661,0.078498,0
0.03591,3.3109,42.78,0.98485,0.16078,353.75,0.7027,0.44803,0.41494,42.127,6.6561,0.032126,0.28558,0.042234,0
0.013083,0.53527,-107.42,1.0751,0.099297,2502.2,0.80749,0.77858,-0.13279,170.48,0.72856,0.16877,0.43169,0.021389,0
-0.12788,1.0061,-17.841,0.93227,-0.057058,-2309.8,0.66747,-0.73388,0.0055829,94.739,2.7642,-0.25282,-1.4518,-0.33791,0
-0.12788,1.0061,-17.841,0.93227,-0.057058,-2309.8,0.66747,-0.73388,0.0055829,94.739,2.7642,-0.25282,-1.4518,-0.33791,0
0.020209,2.7842,-32.662,1.0138,0.03617,2994.2,0.73065,0.15445,2.1954,87.857,2.5394,0.28568,0.033808,0.03101,0
0.13025,2.8095,-26.345,1.3885,0.1276,633.71,0.9069,18.407,1.7929,77.481,4.0858,0.055089,0.23736,0.18812,0
0.078185,4.4478,48.602,1.0838,0.077691,1773.5,1.194,0.80091,0.94527,40.211,0.81629,0.14296,0.2835,0.20372,0
0.044705,2.1036,-10.044,0.54708,0.31662,291.26,0.94592,16.676,0.10423,59.501,1.5593,0.026219,0.46946,0.051876,0
-0.047765,1.455,-1.4575,5.1918,0.009507,3488.6,1.001,-0.45841,0.38143,26.475,3.7945,0.19194,-0.24811,-0.090423,0
0.011051,2.0141,55.775,1.0098,0.13195,1042.5,0.69965,0.28743,0.24201,74.888,1.9841,0.088244,0.2157,0.016227,0
-0.10637,0.68053,-131.85,0.36536,-0.16546,-5772.9,0.66506,-35.421,-0.075622,160.34,0.070363,-0.5327,-1.216,-2.4231,0
-0.0054273,1.6765,-13.78,1.0017,0.087412,850.64,1.0154,-0.019333,0.17476,45.545,1.2585,0.069185,-0.034336,-0.0079248,0
-0.1028,0.94432,-83.449,0.91885,-0.065276,-3508.1,1.5389,-0.88137,-0.11314,200.69,12.232,-0.27585,-0.41934,-0.43147,0
0.042406,46.708,908.64,1.0887,0.30251,63.859,0.90508,0.71853,1.8317,17.537,231.14,0.0087377,4.5788,0.049013,0
-0.07693,1.088,-68.271,1.0716,0.021692,7042.0,0.98194,-0.37982,0.051889,124.09,1.5445,0.31021,-0.36004,-0.21756,0
0.037902,0.98437,-47.985,1.2628,0.15864,726.35,0.96288,1.0907,-0.0035097,109.64,1.8809,0.065761,0.55884,0.058264,0
-0.013477,1.4215,-9.0258,1.0637,0.016679,18434.0,0.856,-0.17166,0.091492,67.167,0.24864,0.98663,-0.1768,-1.1818,0
-0.30171,1.1257,-20.678,1.1479,-0.21886,-922.39,0.65214,-14.503,0.075103,97.033,1.1084,-0.091277,-2.709,-0.82633,0
0.007638,1.376,-119.23,0.56447,0.10791,4412.1,0.72075,1.4247,0.15939,166.26,0.61683,0.28753,0.034426,0.028968,0
0.023383,0.8638,-136.21,1.0518,0.048346,4467.7,0.95896,0.40635,-0.2451,190.13,1.5445,0.29612,0.058978,0.15541,0
-0.015292,0.83201,-204.86,1.0098,0.070241,4158.3,0.87016,0.027425,-0.14113,292.25,39.88,0.25967,-0.066335,-0.030524,0
0.034557,2.8635,1524.1,0.32045,0.52529,541.14,0.62605,4.064,0.97921,540.39,16.454,0.048564,0.28922,0.046049,0
0.21037,0.99723,-83.983,0.71977,0.40565,842.83,0.88203,12.848,-0.0039311,244.67,4.9932,0.071582,1.3002,0.64569,0
0.10306,11.563,130.78,1.1488,0.18706,241.77,0.95679,1.3535,0.47813,14.937,3.6887,0.021062,1.4322,0.11493,0
-0.0050449,1.5446,-94.963,0.53924,0.063441,3139.2,0.90128,-0.11393,0.2032,190.25,2.403,0.25101,-0.022192,0.0,0
0.050751,1.7779,2.7648,1.1358,0.11784,1426.9,1.0337,1.3756,0.45588,116.95,1.6214,0.077665,0.23531,0.095569,0
0.058152,1.3083,-79.227,1.07,0.074009,1463.8,0.90913,0.59722,0.16784,99.388,1.3163,0.11717,0.1679,0.092432,0
0.0012273,1.7552,-154.96,0.54193,0.0056705,56369.0,0.58477,0.0,0.27657,190.88,0.27532,8.5706,0.0037788,0.0023358,0
0.052618,15.358,358.43,1.0993,0.17455,1302.9,0.66288,1.0096,1.4383,27.321,1.6143,0.11786,0.60619,0.082798,0
0.12959,2.4603,22.397,1.7948,0.13464,423.38,1.0289,11.349,0.32108,31.335,1.7874,0.036898,1.2334,0.18006,0
0.092892,1.5107,50.431,1.2288,0.23041,678.93,0.6323,1.8798,0.1977,141.6,3.7389,0.060311,2.1826,0.13901,0
0.039685,1.0205,-48.546,0.99614,0.04508,2124.4,0.823,0.27399,0.01501,73.434,1.1709,0.1734,0.14137,0.087319,0
0.087202,8.261,36.033,1.0658,0.20049,443.01,0.9913,1.575,1.4057,39.621,1.3722,0.036592,0.18424,0.10902,0
0.073227,3.0021,153.43,1.0984,0.12855,840.53,0.88321,0.9566,1.5579,118.62,4553.3,0.079503,0.42336,0.095518,0
0.023581,4.1048,287.19,1.0532,0.12407,964.16,0.81997,0.52383,1.0506,115.38,36.841,0.098529,0.23111,0.027895,0
0.1734,1.9689,14.447,1.1957,0.22724,285.34,1.2107,1.9427,0.33308,66.856,8.4545,0.025264,1.3667,0.22785,0
